ebookNumber,Title,Author,Date,Language,Credits
0195,The prisoner of Zenda,Anthony Hope,Unknown Date,English,Judith Boss
0196,The Monster Men,Edgar Rice Burroughs,Unknown Date,English,Judith Boss and John Hamm
0197,Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott,Unknown Date,English,Unknown Credits
0198,A Tale of Two Cities,Charles Dickens,Unknown Date,English,Judith Boss and David Widger
0199,Collected Articles of Frederick Douglass,Frederick Douglass,Unknown Date,English,Unknown Credits
01100,The Complete Works of William Shakespeare,William Shakespeare,Unknown Date,English,Unknown Credits
01101,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling,Unknown Date,English,Unknown Credits
01102,The Tragedy of Pudd'nhead Wilson,Mark Twain,Unknown Date,English,An Anonymous Volunteer, David Widger and Robert Homa
01103,Around the World in Eighty Days,Jules Verne,Unknown Date,English,Unknown Credits
01104,Inaugural Address of Franklin Delano Roosevelt,Franklin D. Roosevelt,Unknown Date,English,Unknown Credits
01105,Persuasion,Jane Austen,Unknown Date,English,Sharon Partridge and Martin Ward
01106,Jungle Tales of Tarzan,Edgar Rice Burroughs,Unknown Date,English,Judith Boss
01107,Far from the Madding Crowd,Thomas Hardy,Unknown Date,English,anonymous Project Gutenberg volunteers and revised by Joseph E. Loewenstein, M.D.
01108,The Return of Sherlock Holmes,Arthur Conan Doyle,Unknown Date,English,An Anonymous Volunteer
01109,Renascence, and Other Poems,Edna St. Vincent Millay,Unknown Date,English,Produced by Alan Light.  HTML version by Al Haines.
01110,Tess of the d'Urbervilles: A Pure Woman,Thomas Hardy,Unknown Date,English,Steve Menyhert, Meredith Ricker, John Hamm and Joseph E. Loewenstein
01111,Freckles,Gene Stratton-Porter,Unknown Date,English,An Anonymous Volunteer and David Widger
01112,Violists,Richard McGowan,Unknown Date,English,Produced by HTML version by Al Haines
01113,The Secret Garden,Frances Hodgson Burnett,Unknown Date,English,Unknown Credits
01115,United States Census Figures Back to 1630,United States. Bureau of the Census,Unknown Date,English,Unknown Credits
01117,Symphony No. 5 in C minor Opus 67,Ludwig van Beethoven,Unknown Date,English,Produced by Geof Pawlicki
01118,Big Dummy's Guide to the Internet,Electronic Frontier Foundation,Unknown Date,English,Unknown Credits
01119,A Tramp Abroad,Mark Twain,Unknown Date,English,Produced by David Widger
01120,Treasure Island,Robert Louis Stevenson,Unknown Date,English,Unknown Credits
01121,Northanger Abbey,Jane Austen,Unknown Date,English,An Anonymous Volunteer, and David WidgerRevised by Richard Tonsing.
01122,The Return of the Native,Thomas Hardy,Unknown Date,English,John Hamm and David Widger
01123,At the Earth's Core,Edgar Rice Burroughs,Unknown Date,English,Judith Boss
01124,Deuterocanonical Books of the Bible,Anonymous,Unknown Date,English,Robert Kraft
01125,A Girl of the Limberlost,Gene Stratton-Porter,Unknown Date,English,Judith Boss
01126,The Poison Belt,Arthur Conan Doyle,Unknown Date,English,Unknown Credits
01127,Number "e" (Natural Log) to Approximately 1 Million Places,Robert Nemiroff,Unknown Date,English,Unknown Credits
01128,The Arabian Nights Entertainments,Andrew Lang,Unknown Date,English,Produced by Christy Phillips and John Hamm.  HTML version by Al Haines.
01130,Orthodoxy,G. K. Chesterton,Unknown Date,English,This etext was proofread by Martin Ward and compared against a separate copy scanned by Mike Perry
01131,The Pilgrim's Progress from this world to that which is to come,John Bunyan,Unknown Date,English,SeeWei Toh and Alan R. Light. HTML version by Al Haines
01132,The Art of War,active 6th century B.C. Sunzi,Unknown Date,English,Unknown Credits
01133,The Damnation of Theron Ware,Harold Frederic,Unknown Date,English,Produced by Meredith Ricker, John Hamm and David Widger
01134,Maria; Or, The Wrongs of Woman,Mary Wollstonecraft,Unknown Date,English,Judith Boss and David Widger
01135,Les Misérables,Victor Hugo,Unknown Date,English,Judith Boss and David Widger
01136,A Child's Garden of Verses,Robert Louis Stevenson,Unknown Date,English,Unknown Credits
01137,Sara Crewe; Or, What Happened at Miss Minchin's Boarding School,Frances Hodgson Burnett,Unknown Date,English,Produced by Judith Boss and David Widger
01138,George Sand: Some Aspects of Her Life and Writings,René Doumic,Unknown Date,English,Produced by Charles E. Keller and David Widger
01139,The Lost World,Arthur Conan Doyle,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01140,The Jungle,Upton Sinclair,Unknown Date,English,David Meltzer, Christy Phillips, Scott Coulter, Leroy Smith and David Widger
01141,Mansfield Park,Jane Austen,Unknown Date,English,An Anonymous Volunteer and David Widger
01142,The $30,000 Bequest, and Other Stories,Mark Twain,Unknown Date,English,Produced by An Anonymous Volunteer, and David Widger
01143,The Mayor of Casterbridge,Thomas Hardy,Unknown Date,English,John Hamm and David Widger
01144,The Voyage Out,Virginia Woolf,Unknown Date,English,Judith Boss and David Widger
01145,Middlemarch,George Eliot,Unknown Date,English,Unknown Credits
01146,A Little Princess,Frances Hodgson Burnett,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01147,Common Sense,Thomas Paine,Unknown Date,English,John Campbell. HTML version by Al Haines. Modified by Robert Homa.
01148,The Autobiography of Benjamin Franklin,Benjamin Franklin,Unknown Date,English,Unknown Credits
01149,The Lost Continent,Edgar Rice Burroughs,Unknown Date,English,Produced by Judith Boss.  HTML version by Al Haines.
01150,The Republic,Plato,Unknown Date,English,Unknown Credits
01151,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,Unknown Date,English,Produced by Judy Boss and David Widger
01152,Wild Justice,Ruth M. Sprague,Unknown Date,English,Unknown Credits
01153,Jude the Obscure,Thomas Hardy,Unknown Date,English,John Hamm. Revised by Joseph E. Loewenstein, M.D.
01154,The Rise of Silas Lapham,William Dean Howells,Unknown Date,English,Produced by John Hamm.  HTML version by Al Haines
01155,The Moonstone,Wilkie Collins,Unknown Date,English,John Hamm and David Widger
01156,Symphony No. 5 in C minor, Opus 67,Ludwig van Beethoven,Unknown Date,English,Produced by Geof Pawlicki
01157,Daddy-Long-Legs,Jean Webster,Unknown Date,English,Unknown Credits
01158,Emma,Jane Austen,Unknown Date,English,An Anonymous Volunteer and David Widger
01159,The island of Doctor Moreau,H. G. Wells,Unknown Date,English,Judith Boss and Andrew Sly
01160,The Awakening, and Selected Short Stories,Kate Chopin,Unknown Date,English,Judith Boss and David Widger
01161,Sense and Sensibility,Jane Austen,Unknown Date,English,Unknown Credits
01162,Take Me for a Ride: Coming of Age in a Destructive Cult,Mark E. Laxer,Unknown Date,English,Unknown Credits
01163,Flower Fables,Louisa May Alcott,Unknown Date,English,John Hamm and Miriam Bobkoff. HTML version by Al Haines.
01164,Twenty Thousand Leagues under the Sea,Jules Verne,Unknown Date,English,a number of anonymous Gutenberg Project volunteers
01165,McTeague: A Story of San Francisco,Frank Norris,Unknown Date,English,Produced by Pauline J. Iacono and David Widger
01166,Summer,Edith Wharton,Unknown Date,English,Produced by Meredith Ricker, John Hamm and David Widger
01167,American Hand Book of the Daguerreotype,S. D. Humphrey,Unknown Date,English,Produced by Gregory Walker, for the Digital Daguerreian Archive Project.
01168,The History and Practice of the Art of Photography,Henry Hunt Snelling,Unknown Date,English,Produced by Gregory Walker, for the Digital Daguerreian Archive Project.
01169,The Well at the World's End: A Tale,William Morris,Unknown Date,English,Produced by John Hamm.  HTML version by Al Haines.
01170,The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,Unknown Date,English,Unknown Credits
01171,Charlotte Temple,Mrs. Rowson,Unknown Date,English,Produced by Judith Boss and David Widger
01172,The Haunted Bookshop,Christopher Morley,Unknown Date,English,Updates to this eBook were provided by Andrew Sly
01173,The Insidious Dr. Fu Manchu,Sax Rohmer,Unknown Date,English,This etext was updated by Stewart A. Levin of Englewood, CO
01174,The Picture of Dorian Gray,Oscar Wilde,Unknown Date,English,Judith Boss. HTML version by Al Haines.
01175,The Phantom of the Opera,Gaston Leroux,Unknown Date,English,Unknown Credits
01176,Roderick Hudson,Henry James,Unknown Date,English,Produced by Judy Boss and David Widger
01177,The American,Henry James,Unknown Date,English,Pauline J. Iacono, John Hamm and David Widger
01178,Confidence,Henry James,Unknown Date,English,Produced by Judith Boss and David Widger
01179,The Europeans,Henry James,Unknown Date,English,An Anonymous Volunteer
01180,The 1994 CIA World Factbook,United States. Central Intelligence Agency,Unknown Date,English,Unknown Credits
01181,The Project Gutenberg RST Manual,Unknown Author,Unknown Date,English,This file was produced from images stolen from the Louvre.
01200,The Project Gutenberg Encyclopedia, Volume 1 of 28,Project Gutenberg,Unknown Date,English,Unknown Credits
01201,Flatland: A Romance of Many Dimensions,Edwin Abbott Abbott,Unknown Date,English,Unknown Credits
01202,My Bondage and My Freedom,Frederick Douglass,Unknown Date,English,Mike Lough and David Widger
01203,Uncle Tom's Cabin,Harriet Beecher Stowe,Unknown Date,English,Judith Boss, an Anonymous Volunteer and David Widger
01204,The innocence of Father Brown,G. K. Chesterton,Unknown Date,English,Judith Boss and David Widger
01205,Walden, and On The Duty Of Civil Disobedience,Henry David Thoreau,Unknown Date,English,Judith Boss, and David Widger
01206,The Martin Luther King, Jr. Day, 1995, Memorial Issue,Various,Unknown Date,English,Produced by Judith Boss, John Hamm and David Widger
01207,The Spell of the Yukon and Other Verses,Robert W. Service,Unknown Date,English,Produced by A. Light, G.L. Warner, and David Widger
01208,Daisy Miller: A Study,Henry James,Unknown Date,English,Produced by Judith Boss and David Widger
01209,The Turn of the Screw,Henry James,Unknown Date,English,Judith Boss
01210,An International Episode,Henry James,Unknown Date,English,Produced by Judith Boss, and David Widger
01211,The Aspern Papers,Henry James,Unknown Date,English,Produced by Judith Boss and David Widger
01212,A List of Factorial Math Constants,Unknown,Unknown Date,English,Unknown Credits
01213,The Man from Snowy River,A. B. Paterson,Unknown Date,English,Produced by A. Light, Sheridan Ash, and David Widger
01214,In the Days When the World Was Wide, and Other Verses,Henry Lawson,Unknown Date,English,Produced by A. Light, L. Bowser and David Widger
01215,The call of the wild,Jack London,Unknown Date,English,Ryan, Kirstin, Linda and Rick Trapp and David Widger
01216,The Tao Teh King, or the Tao and its Characteristics,Laozi,Unknown Date,English,Produced by Gregory Walker, and David Widger
01217,Sons and Lovers,D. H. Lawrence,Unknown Date,English,Alan Charles Veeck, Jr. and David Widger
01218,C. Iuli Caesaris De Bello Gallico, I-IV,Julius Caesar,Unknown Date,Latin,Produced by Judith Boss and David Widger
01219,Heart of Darkness,Joseph Conrad,Unknown Date,English,Judith Boss and David Widger
01220,The Secret Sharer,Joseph Conrad,Unknown Date,English,Produced by Judith Boss and David Widger
01221,The Return of Sherlock Holmes,Arthur Conan Doyle,Unknown Date,English,Produced by Charles Keller, Joanne Brown, Frank Sadowski, Roger Squires,
01222,The Moon and Sixpence,W. Somerset Maugham,Unknown Date,English,Charles Keller and John Hamm
01223,The wisdom of Father Brown,G. K. Chesterton,Unknown Date,English,Produced by Martin Ward, and David Widger
01224,A pair of blue eyes,Thomas Hardy,Unknown Date,English,John Hamm
01225,At the Back of the North Wind,George MacDonald,Unknown Date,English,Produced by Martin Ward, and David Widger
01226,Cicero's Orations,Marcus Tullius Cicero,Unknown Date,Latin,Unknown Credits
01227,Aeneidos,Virgil,Unknown Date,Latin,Unknown Credits
01228,The Aeneid,Virgil,Unknown Date,English,Anonymous Volunteers and David Widger
01229,The Bucolics and Eclogues,Virgil,Unknown Date,Latin,Unknown Credits
01230,The Bucolics and Eclogues,Virgil,Unknown Date,English,Unknown Credits
01231,Georgicon,Virgil,Unknown Date,Latin,Unknown Credits
01232,The Georgics,Virgil,Unknown Date,English,Unknown Credits
01233,Sister Carrie: A Novel,Theodore Dreiser,Unknown Date,English,John Hamm and David Widger
01234,Child Christopher and Goldilind the Fair,William Morris,Unknown Date,English,Produced by John Hamm and David Widger
01235,William Gibson Interviewed,Giuseppe Salza,Unknown Date,English,Unknown Credits
01236,The Jungle Book,Rudyard Kipling,Unknown Date,English,Unknown Credits
01237,Sexti Properti Elegiarvm: Liber Primvs,Sextus Propertius,Unknown Date,Latin,Unknown Credits
01238,Dear Enemy,Jean Webster,Unknown Date,English,Mike Lynch and David Widger
01240,Stories from the Old Attic,Robert A. Harris,Unknown Date,English,Produced by Robert Harris
01241,Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter,William Wells Brown,Unknown Date,English,Produced by Anthony J. Adam and David Widger
01242,My Ántonia,Willa Cather,Unknown Date,English,Judith Boss, Martin Robb and David Widger
01243,The forged coupon, and other stories,graf Leo Tolstoy,Unknown Date,English,Judith Boss and David Widger
01244,A Study in Scarlet,Arthur Conan Doyle,Unknown Date,English,Roger Squires and David Widger
01245,Life on the Mississippi,Mark Twain,Unknown Date,English,Produced by David Widger. Earliest PG text edition produced by Graham Allan
01246,The Rubaiyat of Omar Khayyam,Omar Khayyam,Unknown Date,English,Produced by Judy Boss, Gregory Walker, and David Widger
01247,Webster's Unabridged Dictionary (1st 100 Pages),Noah Webster,Unknown Date,English,Unknown Credits
01248,Webster's Unabridged Dictionary (2nd 100 Pages),Noah Webster,Unknown Date,English,Unknown Credits
01249,French Cave Paintings,Unknown Author,Unknown Date,English,Unknown Credits
01250,A Brief History of the Internet,Michael Hart,Unknown Date,English,Produced by Michael Hart
01251,1995 United States Congressional Address Book,United States,Unknown Date,English,Unknown Credits
01252,Copyright Law of the United States of America,Library of Congress. Copyright Office,Unknown Date,English,Unknown Credits
01253,The Universal Copyright Convention (1988),Coalition for Networked Information,Unknown Date,English,Unknown Credits
01254,The Second Story of Meno,Unknown,Unknown Date,English,Unknown Credits
01255,QREAD, Etext Reader for Windows,Dan Scavezze,Unknown Date,English,Unknown Credits
01257,Troilus and Criseyde,Geoffrey Chaucer,Unknown Date,English,Produced by Douglas B. Killings, Diane M. Brendan, and David Widger
01258,Poems by Adam Lindsay Gordon,Adam Lindsay Gordon,Unknown Date,English,Produced by A. Light, Linda Bowser and David Widger
01259,Ballads of a Cheechako,Robert W. Service,Unknown Date,English,Produced by A. Light and David Widger
01260,An Introduction to the Study of Robert Browning's Poetry,Robert Browning,Unknown Date,English,Produced by A. Light, Byron Bakker, and David Widger
01261,A Dome of Many-Coloured Glass,Amy Lowell,Unknown Date,English,Produced by A. Light, Linda Bowser, and David Widger
01262,The Collected Poems of Rupert Brooke,Rupert Brooke,Unknown Date,English,Produced by A. Light, Linda Bowser, Rick Niles, and David Widger
01263,Trees, and Other Poems,Joyce Kilmer,Unknown Date,English,Produced by A. Light, and David Widger
01264,Main Street, and Other Poems,Joyce Kilmer,Unknown Date,English,Produced by A. Light, and Linda Bowser, and David Widger
01265,The Life and Death of Cormac the Skald,Unknown Author,Unknown Date,English,Produced by Doublas B. Killings and David Widger
01266,Confessio Amantis; Or, Tales of the Seven Deadly Sins,John Gower,Unknown Date,English,Douglas B. Killings, Diane M. Brendan and David Widger
01267,The Touchstone,Edith Wharton,Unknown Date,English,Produced by Judith Boss, and David Widger
01268,The Octopus : A Story of California,Frank Norris,Unknown Date,English,Produced by John Hamm, and David Widger
01269,Beasts and Super-Beasts,Saki,Unknown Date,English,Transcribed from the 1914 John Lane, The Bodley Head edition by David Price
01270,Dream Days,Kenneth Grahame,Unknown Date,English,Produced by Mike Lough and David Widger
01271,Black Beauty,Anna Sewell,Unknown Date,English,Produced by A. Light, Linda Bowser, and David Widger
01272,An Open Letter on Translating,Martin Luther,Unknown Date,English,Unknown Credits
01273,The Smalcald Articles,Martin Luther,Unknown Date,English,Produced by Allen Mulvey, and David Widger
01274,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,Martin Luther,Unknown Date,English,Unknown Credits
01275,The Augsburg Confession,Philipp Melanchthon,Unknown Date,English,Produced by Allen Mulvey and David Widger
01276,Franz Haydn's 104th Symphony [1794-5],Joseph Haydn,Unknown Date,English,Produced by Sharon Zurflieh and Geof Pawlicki
01277,Trinity Site,National Atomic Museum,Unknown Date,English,Produced by Gregory Walker and David Widger
01278,Trinity Site: 1945-1995.,White Sands Missile Range . Public Affairs Office,Unknown Date,English,Produced by Gregory Walker.  HTML version by Al Haines.
01279,Photos and Maps of Trinity (Atomic Test) Site,Unknown Author,Unknown Date,English,Produced by HTML version by Al Haines.
01280,Records of a Family of Engineers,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1912 Chatto & Windus edition by David Price. Additional proofing by Peter Barnes
01281,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,Robert Louis Stevenson,Unknown Date,English,Transcribed from the 1914 Chatto & Windus edition by David Price
01282,Eothen; Or, Traces of Travel Brought Home from the East,Alexander William Kinglake,Unknown Date,English,Transcribed from the 1898 George Newnes edition by David Price
01283,The Reef,Edith Wharton,Unknown Date,English,Produced by Gail Jahn, John Hamm, and David Widger
01284,The House of Mirth,Edith Wharton,Unknown Date,English,Unknown Credits
01285,The Lost Continent,Charles John Cutcliffe Wright Hyne,Unknown Date,English,Produced by Judith Boss, and David Widger
01286,Laddie: A True Blue Story,Gene Stratton-Porter,Unknown Date,English,Unknown Credits
01287,Remember the Alamo,Amelia E. Barr,Unknown Date,English,Produced by Mike Lynch and David Widger
01288,The Certain Hour (Dizain des Poëtes),James Branch Cabell,Unknown Date,English,Unknown Credits
01289,The Wind in the Willows,Kenneth Grahame,Unknown Date,English,Mike Lough and David Widger
01290,The Stark Munro Letters,Arthur Conan Doyle,Unknown Date,English,Produced by Mike Lynch, and David Widger
01291,The Golden Age,Kenneth Grahame,Unknown Date,English,Produced by Mike Lough and David Widger
01292,Beauty and the Beast, and Tales of Home,Bayard Taylor,Unknown Date,English,Produced by Mike Lough and David Widger
01293,Paul Prescott's Charge,Jr. Horatio Alger,Unknown Date,English,Produced by An Anonymous Volunteer and David Widger
01294,The Captain of the Polestar, and Other Tales,Arthur Conan Doyle,Unknown Date,English,Mike Lough and David Widger
01295,The Early Short Fiction of Edith Wharton — Part 1,Edith Wharton,Unknown Date,English,Produced by Judith Boss, and David Widger
01296,The Cash Boy,Jr. Horatio Alger,Unknown Date,English,Produced by An Anonymous Volunteer and David Widger
01297,The Flirt,Booth Tarkington,Unknown Date,English,Etext produced by and anonymous Project Gutenberg volunteer
01298,The Market-Place,Harold Frederic,Unknown Date,English,Produced by John Hamm, and David Widger
01299,Tales from Two Hemispheres,Hjalmar Hjorth Boyesen,Unknown Date,English,Produced by Charles Keller, and David Widger
01300,United States Declaration of Independence,Thomas Jefferson,Unknown Date,English,Produced by Michael S. Hart
01301,The Ballad of Reading Gaol,Oscar Wilde,Unknown Date,English,Produced by Faith Knowles, David Widger, and an Anonymous Volunteer
01302,The Fibonacci Number Series,Michael Husted,Unknown Date,English,Produced by Michael Husted
01303,HomeBrew HomePages Put YOU on the World Wide Web,Anonymous,Unknown Date,English,Unknown Credits
01304,Rio Grande's Last Race, and Other Verses,A. B. Paterson,Unknown Date,English,Produced by A. Light, David M. Medinets, and David Widger
01305,The Count's Millions,Emile Gaboriau,Unknown Date,English,Produced by John Hamm and David Widger
01306,The Early Short Fiction of Edith Wharton — Part 2,Edith Wharton,Unknown Date,English,Produced by John Hamm, and David Widger
01307,Three Elephant Power, and Other Stories,A. B. Paterson,Unknown Date,English,Produced by A. Light, L. Bowser, and David Widger
